"BehaviorSpace results (NetLogo 6.0.4)"
"Sugarscape 1 Immediate Growback.nlogo"
"CW2"
"02/13/2019 17:30:32:121 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [vision] of turtles","mean [metabolism] of turtles","mean [sugar] of turtles","mean [psugar] of patches"
"5","color-agents-by-metabolism","50","26","33","3.727272727272727","2.121212121212121","34.81818181818182","1.8108"
"10","color-agents-by-metabolism","50","7","42","3.238095238095238","2.261904761904762","19.357142857142858","1.8012"
"10","color-agents-by-metabolism","50","8","41","3.2439024390243905","2.268292682926829","20.414634146341463","1.8012"
"11","color-agents-by-metabolism","100","4","99","3.515151515151515","2.494949494949495","15.83838383838384","1.7436"
"5","color-agents-by-metabolism","50","27","33","3.727272727272727","2.121212121212121","35.57575757575758","1.8108"
"14","color-agents-by-metabolism","100","1","100","3.54","2.51","15.6","1.7488"
"12","color-agents-by-metabolism","100","1","100","3.32","2.34","15.61","1.7548"
"10","color-agents-by-metabolism","50","9","41","3.2439024390243905","2.268292682926829","21.024390243902438","1.8016"
"14","color-agents-by-metabolism","100","2","98","3.5714285714285716","2.479591836734694","16.010204081632654","1.746"
"9","color-agents-by-metabolism","50","1","50","3.8","2.7","15.78","1.7976"
"11","color-agents-by-metabolism","100","5","96","3.5208333333333335","2.4895833333333335","16.520833333333332","1.7436"
"13","color-agents-by-metabolism","100","0","100","3.43","2.29","15.2","1.8488"
"12","color-agents-by-metabolism","100","2","100","3.32","2.34","15.72","1.7508"
"10","color-agents-by-metabolism","50","10","41","3.2439024390243905","2.268292682926829","21.634146341463413","1.8016"
"14","color-agents-by-metabolism","100","3","96","3.6145833333333335","2.4479166666666665","16.520833333333332","1.7452"
"11","color-agents-by-metabolism","100","6","94","3.5531914893617023","2.478723404255319","17.095744680851062","1.7448"
"14","color-agents-by-metabolism","100","4","94","3.617021276595745","2.4148936170212765","17.106382978723403","1.7464"
"12","color-agents-by-metabolism","100","3","98","3.3469387755102042","2.316326530612245","16.20408163265306","1.7496"
"9","color-agents-by-metabolism","50","2","48","3.8333333333333335","2.6458333333333335","16.416666666666668","1.796"
"15","color-agents-by-metabolism","100","0","100","3.53","2.49","15.33","1.8488"
"10","color-agents-by-metabolism","50","11","38","3.236842105263158","2.210526315789474","24.026315789473685","1.8016"
"14","color-agents-by-metabolism","100","5","90","3.6777777777777776","2.3666666666666667","18.18888888888889","1.7476"
"13","color-agents-by-metabolism","100","1","100","3.43","2.29","15.33","1.752"
"11","color-agents-by-metabolism","100","7","94","3.5531914893617023","2.478723404255319","17.351063829787233","1.746"
"14","color-agents-by-metabolism","100","6","89","3.662921348314607","2.348314606741573","18.797752808988765","1.7492"
"9","color-agents-by-metabolism","50","3","48","3.8333333333333335","2.6458333333333335","16.5","1.7964"
"10","color-agents-by-metabolism","50","12","37","3.2972972972972974","2.1621621621621623","25.45945945945946","1.8036"
"12","color-agents-by-metabolism","100","4","98","3.3469387755102042","2.316326530612245","16.397959183673468","1.7504"
"12","color-agents-by-metabolism","100","5","95","3.4105263157894736","2.2842105263157895","17.13684210526316","1.7504"
"13","color-agents-by-metabolism","100","2","98","3.438775510204082","2.2551020408163267","15.857142857142858","1.7492"
"11","color-agents-by-metabolism","100","8","92","3.597826086956522","2.4565217391304346","18","1.746"
"14","color-agents-by-metabolism","100","7","85","3.635294117647059","2.2823529411764705","20.129411764705882","1.75"
"13","color-agents-by-metabolism","100","3","98","3.438775510204082","2.2551020408163267","16.153061224489797","1.7488"
