[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles,mean [sugar] of turtles,mean [psugar] of patches
3,color-agents-by-metabolism,50,20,37,3.56756756756757,1.94594594594595,30.9189189189189,1.8084
3,color-agents-by-metabolism,50,21,36,3.63888888888889,1.94444444444444,32.5833333333333,1.8084
5,color-agents-by-metabolism,50,24,33,3.72727272727273,2.12121212121212,33.3030303030303,1.8096
3,color-agents-by-metabolism,50,22,35,3.68571428571429,1.88571428571429,34.3714285714286,1.8088
3,color-agents-by-metabolism,50,23,35,3.68571428571429,1.88571428571429,35.2571428571429,1.81
5,color-agents-by-metabolism,50,25,33,3.72727272727273,2.12121212121212,34.0606060606061,1.8108
3,color-agents-by-metabolism,50,24,34,3.70588235294118,1.85294117647059,37.2058823529412,1.81
2,color-agents-by-metabolism,50,18,36,3.02777777777778,1.97222222222222,31.1666666666667,1.8088
3,color-agents-by-metabolism,50,25,33,3.78787878787879,1.81818181818182,39.3030303030303,1.8108
2,color-agents-by-metabolism,50,19,36,3.02777777777778,1.97222222222222,31.9722222222222,1.8088
3,color-agents-by-metabolism,50,26,33,3.78787878787879,1.81818181818182,40.3030303030303,1.8116
2,color-agents-by-metabolism,50,20,36,3.02777777777778,1.97222222222222,32.7777777777778,1.8088
3,color-agents-by-metabolism,50,27,33,3.78787878787879,1.81818181818182,41.3030303030303,1.8116
2,color-agents-by-metabolism,50,21,36,3.02777777777778,1.97222222222222,33.5833333333333,1.8088
2,color-agents-by-metabolism,50,22,36,3.02777777777778,1.97222222222222,34.3888888888889,1.8088
2,color-agents-by-metabolism,50,23,35,2.97142857142857,1.91428571428571,36.2,1.8088
11,color-agents-by-metabolism,100,0,100,3.51,2.51,15.25,1.8488
2,color-agents-by-metabolism,50,24,34,2.97058823529412,1.88235294117647,38.1470588235294,1.81
2,color-agents-by-metabolism,50,25,34,2.97058823529412,1.88235294117647,39.0588235294118,1.8108
10,color-agents-by-metabolism,50,0,50,3.1,2.46,14.46,1.8488
11,color-agents-by-metabolism,100,1,100,3.51,2.51,15.26,1.748
2,color-agents-by-metabolism,50,26,34,2.97058823529412,1.88235294117647,39.9705882352941,1.8108
2,color-agents-by-metabolism,50,27,34,2.97058823529412,1.88235294117647,40.8823529411765,1.8108
10,color-agents-by-metabolism,50,1,50,3.1,2.46,14.54,1.798
11,color-agents-by-metabolism,100,2,100,3.51,2.51,15.38,1.7436
10,color-agents-by-metabolism,50,2,49,3.14285714285714,2.42857142857143,14.9387755102041,1.7976
10,color-agents-by-metabolism,50,3,49,3.14285714285714,2.42857142857143,15.1224489795918,1.7976
10,color-agents-by-metabolism,50,4,47,3.1063829787234,2.36170212765957,16,1.7976
10,color-agents-by-metabolism,50,5,44,3.22727272727273,2.34090909090909,17.4318181818182,1.7988
11,color-agents-by-metabolism,100,3,99,3.51515151515152,2.49494949494949,15.6767676767677,1.7428
10,color-agents-by-metabolism,50,6,42,3.23809523809524,2.26190476190476,18.7857142857143,1.8
9,color-agents-by-metabolism,50,0,50,3.8,2.7,15.92,1.8488
14,color-agents-by-metabolism,100,0,100,3.54,2.51,15.61,1.8488
12,color-agents-by-metabolism,100,0,100,3.32,2.34,15.6,1.8488
