[run number],visualization,initial-population,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles
12,color-agents-by-metabolism,100,15,66,3.96969697,2.181818182
12,color-agents-by-metabolism,100,16,66,3.96969697,2.181818182
12,color-agents-by-metabolism,100,17,66,3.96969697,2.181818182
12,color-agents-by-metabolism,100,18,65,3.938461538,2.153846154
12,color-agents-by-metabolism,100,19,65,3.938461538,2.153846154
12,color-agents-by-metabolism,100,20,65,3.938461538,2.153846154
12,color-agents-by-metabolism,100,21,62,3.919354839,2.112903226
12,color-agents-by-metabolism,100,22,62,3.919354839,2.112903226
12,color-agents-by-metabolism,100,23,62,3.919354839,2.112903226
12,color-agents-by-metabolism,100,24,62,3.919354839,2.112903226
12,color-agents-by-metabolism,100,25,62,3.919354839,2.112903226
12,color-agents-by-metabolism,100,26,62,3.919354839,2.112903226
12,color-agents-by-metabolism,100,27,62,3.919354839,2.112903226
13,color-agents-by-metabolism,100,0,100,3.53,2.54
13,color-agents-by-metabolism,100,1,100,3.53,2.54
13,color-agents-by-metabolism,100,2,99,3.505050505,2.525252525
13,color-agents-by-metabolism,100,3,98,3.530612245,2.510204082
13,color-agents-by-metabolism,100,4,91,3.461538462,2.417582418
13,color-agents-by-metabolism,100,5,89,3.483146067,2.404494382
13,color-agents-by-metabolism,100,6,89,3.483146067,2.404494382
13,color-agents-by-metabolism,100,7,87,3.528735632,2.367816092
13,color-agents-by-metabolism,100,8,81,3.592592593,2.320987654
13,color-agents-by-metabolism,100,9,80,3.575,2.325
13,color-agents-by-metabolism,100,10,77,3.532467532,2.272727273
13,color-agents-by-metabolism,100,11,76,3.552631579,2.25
13,color-agents-by-metabolism,100,12,73,3.602739726,2.219178082
13,color-agents-by-metabolism,100,13,73,3.602739726,2.219178082
13,color-agents-by-metabolism,100,14,71,3.605633803,2.183098592
13,color-agents-by-metabolism,100,15,71,3.605633803,2.183098592
13,color-agents-by-metabolism,100,16,70,3.628571429,2.171428571
13,color-agents-by-metabolism,100,17,69,3.666666667,2.15942029
13,color-agents-by-metabolism,100,18,68,3.647058824,2.147058824
13,color-agents-by-metabolism,100,19,67,3.686567164,2.149253731
13,color-agents-by-metabolism,100,20,67,3.686567164,2.149253731
13,color-agents-by-metabolism,100,21,66,3.712121212,2.151515152
13,color-agents-by-metabolism,100,22,65,3.738461538,2.138461538
13,color-agents-by-metabolism,100,23,65,3.738461538,2.138461538
13,color-agents-by-metabolism,100,24,65,3.738461538,2.138461538
13,color-agents-by-metabolism,100,25,61,3.770491803,2.081967213
13,color-agents-by-metabolism,100,26,61,3.770491803,2.081967213
13,color-agents-by-metabolism,100,27,61,3.770491803,2.081967213
14,color-agents-by-metabolism,100,0,100,3.34,2.36
14,color-agents-by-metabolism,100,1,100,3.34,2.36
14,color-agents-by-metabolism,100,2,99,3.363636364,2.353535354
14,color-agents-by-metabolism,100,3,96,3.385416667,2.302083333
14,color-agents-by-metabolism,100,4,95,3.410526316,2.294736842
14,color-agents-by-metabolism,100,5,92,3.467391304,2.27173913
14,color-agents-by-metabolism,100,6,89,3.505617978,2.213483146
14,color-agents-by-metabolism,100,7,87,3.471264368,2.172413793
14,color-agents-by-metabolism,100,8,85,3.494117647,2.141176471
14,color-agents-by-metabolism,100,9,83,3.518072289,2.108433735
14,color-agents-by-metabolism,100,10,81,3.555555556,2.074074074
14,color-agents-by-metabolism,100,11,81,3.555555556,2.074074074
14,color-agents-by-metabolism,100,12,77,3.623376623,2.012987013
14,color-agents-by-metabolism,100,13,74,3.702702703,1.986486486
14,color-agents-by-metabolism,100,14,74,3.702702703,1.986486486
14,color-agents-by-metabolism,100,15,73,3.739726027,1.97260274
14,color-agents-by-metabolism,100,16,72,3.777777778,1.986111111
14,color-agents-by-metabolism,100,17,71,3.76056338,1.971830986
14,color-agents-by-metabolism,100,18,69,3.739130435,1.913043478
14,color-agents-by-metabolism,100,19,69,3.739130435,1.913043478
14,color-agents-by-metabolism,100,20,69,3.739130435,1.913043478
14,color-agents-by-metabolism,100,21,68,3.764705882,1.882352941
14,color-agents-by-metabolism,100,22,67,3.805970149,1.865671642
14,color-agents-by-metabolism,100,23,65,3.815384615,1.8
14,color-agents-by-metabolism,100,24,65,3.815384615,1.8
14,color-agents-by-metabolism,100,25,64,3.78125,1.796875
14,color-agents-by-metabolism,100,26,64,3.78125,1.796875
14,color-agents-by-metabolism,100,27,64,3.78125,1.796875
15,color-agents-by-metabolism,100,0,100,3.26,2.71
15,color-agents-by-metabolism,100,1,100,3.26,2.71
15,color-agents-by-metabolism,100,2,99,3.282828283,2.696969697
15,color-agents-by-metabolism,100,3,96,3.322916667,2.666666667
15,color-agents-by-metabolism,100,4,95,3.347368421,2.673684211
15,color-agents-by-metabolism,100,5,93,3.365591398,2.666666667
15,color-agents-by-metabolism,100,6,88,3.409090909,2.602272727
15,color-agents-by-metabolism,100,7,82,3.426829268,2.548780488
15,color-agents-by-metabolism,100,8,79,3.506329114,2.506329114
15,color-agents-by-metabolism,100,9,77,3.519480519,2.480519481
